Feature,Recall_True,Precision_True
no_draw_away,0.9512987012987013,0.7455470737913485
fav_double_chance_home,0.9444444444444444,0.8125786163522013
no_draw_home,0.940809968847352,0.766497461928934
fav_double_chance_away,0.9387755102040817,0.817258883248731
ht_opp_goals_0_home,0.8003875968992248,0.612759643916914
ht_opp_goals_0_away,0.7942238267148014,0.6707317073170732
fav_win_home,0.7172557172557172,0.6160714285714286
sh_opp_goals_0_away,0.6926406926406926,0.5882352941176471
sh_opp_goals_0_home,0.689727463312369,0.6036697247706422
btts_yes_ft_away,0.6637168141592921,0.5338078291814946
btts_yes_ft_home,0.6535269709543569,0.5898876404494382
fav_win_away,0.6394849785407726,0.5708812260536399
opp_double_chance_away,0.5621621621621622,0.48372093023255813
ht_fav_goals_0_away,0.5058139534883721,0.4461538461538462
opp_double_chance_home,0.49175824175824173,0.5375375375375375
most_goals_2h_home,0.44148936170212766,0.46629213483146065
ht_fav_goals_0_home,0.42245989304812837,0.5096774193548387
most_goals_2h_away,0.4180790960451977,0.39572192513368987
ht_goal_diff_0_away,0.40372670807453415,0.41935483870967744
ht_ft_W/W_home,0.3416370106761566,0.4485981308411215
sh_fav_goals_1_away,0.3374233128834356,0.40441176470588236
fav_scored_more_2h_home,0.3303030303030303,0.36577181208053694
ft_opp_goals_1_away,0.3246753246753247,0.47619047619047616
opp_failed_to_score_home,0.3225806451612903,0.37656903765690375
ft_opp_goals_0_home,0.3225806451612903,0.37656903765690375
ht_total_goals_1_away,0.30718954248366015,0.3884297520661157
ht_fav_goals_1_away,0.2948717948717949,0.3770491803278688
sh_fav_goals_0_away,0.2919254658385093,0.373015873015873
opp_failed_to_score_away,0.2911392405063291,0.3865546218487395
ft_opp_goals_0_away,0.2911392405063291,0.3865546218487395
ht_goal_diff_0_home,0.2869822485207101,0.3943089430894309
sh_fav_goals_0_home,0.2848297213622291,0.431924882629108
ft_opp_goals_1_home,0.2823529411764706,0.47761194029850745
fav_win_by_2+_home,0.28174603174603174,0.39664804469273746
sh_fav_goals_1_home,0.2635135135135135,0.3627906976744186
fav_win_to_nil_home,0.26222222222222225,0.3352272727272727
ht_total_goals_1_home,0.26013513513513514,0.3719806763285024
sh_opp_goals_1_away,0.2517482517482518,0.4444444444444444
ht_fav_goals_1_home,0.24662162162162163,0.3333333333333333
sh_total_goals_1_home,0.22916666666666666,0.3793103448275862
sh_opp_goals_1_home,0.22857142857142856,0.3950617283950617
fav_scored_more_2h_away,0.21621621621621623,0.2831858407079646
btts_yes_sh_away,0.2,0.39344262295081966
fav_scored_equal_away,0.2,0.28125
sh_total_goals_2_away,0.19811320754716982,0.3387096774193548
ft_fav_goals_1_home,0.19607843137254902,0.3333333333333333
fav_scored_equal_home,0.1953125,0.3333333333333333
ht_opp_goals_1_away,0.19130434782608696,0.275
sh_total_goals_1_away,0.19117647058823528,0.33766233766233766
sh_total_goals_3+_home,0.18497109826589594,0.3764705882352941
ft_fav_goals_2_away,0.18446601941747573,0.3064516129032258
most_goals_1h_home,0.18326693227091634,0.40350877192982454
ht_ft_W/W_away,0.1794871794871795,0.35
most_goals_1h_away,0.1791044776119403,0.375
fav_scored_more_1h_away,0.17777777777777778,0.39344262295081966
fav_scored_more_1h_home,0.16602316602316602,0.31851851851851853
fav_win_to_nil_away,0.1640625,0.328125
btts_yes_sh_home,0.16113744075829384,0.30357142857142855
ft_fav_goals_2_home,0.15789473684210525,0.32038834951456313
most_goals_equal_home,0.15137614678899083,0.3626373626373626
fav_win_by_2+_away,0.14960629921259844,0.34545454545454546
