Feature,Precision,Required_Odds,Available_Odds,Note
no_draw_away,0.7455470737913485,1.3412969283276452,,Unavailable - need odds > 1.34 to be profitable
fav_double_chance_home,0.8125786163522013,1.2306501547987616,,Unavailable - need odds > 1.23 to be profitable
no_draw_home,0.766497461928934,1.304635761589404,,Unavailable - need odds > 1.30 to be profitable
fav_double_chance_away,0.817258883248731,1.2236024844720497,1.1042242222657015,"Current odds 1.10, not profitable (need > {required_odds:.2f})"
ht_opp_goals_0_home,0.612759643916914,1.631961259079903,,Unavailable - need odds > 1.63 to be profitable
ht_opp_goals_0_away,0.6707317073170732,1.4909090909090907,,Unavailable - need odds > 1.49 to be profitable
fav_win_home,0.6160714285714286,1.6231884057971013,,Unavailable - need odds > 1.62 to be profitable
sh_opp_goals_0_away,0.5882352941176471,1.7,,Unavailable - need odds > 1.70 to be profitable
sh_opp_goals_0_home,0.6036697247706422,1.656534954407295,,Unavailable - need odds > 1.66 to be profitable
btts_yes_ft_away,0.5338078291814946,1.8733333333333335,,Unavailable - need odds > 1.87 to be profitable
btts_yes_ft_home,0.5898876404494382,1.6952380952380952,,Unavailable - need odds > 1.70 to be profitable
fav_win_away,0.5708812260536399,1.751677852348993,3.6767370593839312,"Current odds 3.68, profitable"
opp_double_chance_away,0.4837209302325581,2.0673076923076925,,Unavailable - need odds > 2.07 to be profitable
ht_fav_goals_0_away,0.4461538461538462,2.2413793103448274,,Unavailable - need odds > 2.24 to be profitable
opp_double_chance_home,0.5375375375375375,1.8603351955307263,,Unavailable - need odds > 1.86 to be profitable
most_goals_2h_home,0.4662921348314606,2.1445783132530125,,Unavailable - need odds > 2.14 to be profitable
ht_fav_goals_0_home,0.5096774193548387,1.9620253164556962,,Unavailable - need odds > 1.96 to be profitable
most_goals_2h_away,0.3957219251336898,2.527027027027027,,Unavailable - need odds > 2.53 to be profitable
ht_goal_diff_0_away,0.4193548387096774,2.384615384615385,,Unavailable - need odds > 2.38 to be profitable
ht_ft_W/W_home,0.4485981308411215,2.2291666666666665,,Unavailable - need odds > 2.23 to be profitable
sh_fav_goals_1_away,0.4044117647058823,2.472727272727273,,Unavailable - need odds > 2.47 to be profitable
fav_scored_more_2h_home,0.3657718120805369,2.7339449541284404,,Unavailable - need odds > 2.73 to be profitable
ft_opp_goals_1_away,0.4761904761904761,2.1000000000000005,,Unavailable - need odds > 2.10 to be profitable
opp_failed_to_score_home,0.3765690376569037,2.655555555555556,,Unavailable - need odds > 2.66 to be profitable
ft_opp_goals_0_home,0.3765690376569037,2.655555555555556,,Unavailable - need odds > 2.66 to be profitable
ht_total_goals_1_away,0.3884297520661157,2.5744680851063833,,Unavailable - need odds > 2.57 to be profitable
ht_fav_goals_1_away,0.3770491803278688,2.6521739130434785,,Unavailable - need odds > 2.65 to be profitable
sh_fav_goals_0_away,0.373015873015873,2.6808510638297873,,Unavailable - need odds > 2.68 to be profitable
opp_failed_to_score_away,0.3865546218487395,2.5869565217391304,,Unavailable - need odds > 2.59 to be profitable
ft_opp_goals_0_away,0.3865546218487395,2.5869565217391304,,Unavailable - need odds > 2.59 to be profitable
ht_goal_diff_0_home,0.3943089430894309,2.5360824742268044,,Unavailable - need odds > 2.54 to be profitable
