Feature,Accuracy,Precision,Recall,F1_Score,AUC,Train_Positive_Rate,Test_Positive_Rate,Test_Samples
fav_win_home,0.7229,0.6127,0.7401,0.6704,0.8149,0.3682,0.3808,1263
fav_win_away,0.8519,0.5852,0.6781,0.6282,0.9172,0.1770,0.1845,1263
draw_home,0.8211,0.3333,0.1133,0.1691,0.7055,0.1688,0.1607,1263
draw_away,0.8947,0.2830,0.1364,0.1840,0.8628,0.0861,0.0871,1263
fav_loss_home,0.8614,0.2500,0.0435,0.0741,0.7078,0.1281,0.1275,1263
fav_loss_away,0.9311,0.2500,0.0800,0.1212,0.8670,0.0719,0.0594,1263
no_draw_home,0.8282,0.7673,0.9502,0.8490,0.8514,0.4962,0.5083,1263
no_draw_away,0.9089,0.7468,0.9481,0.8355,0.9388,0.2488,0.2439,1263
fav_double_chance_home,0.8614,0.8146,0.9635,0.8828,0.8775,0.5370,0.5416,1263
fav_double_chance_away,0.9295,0.8207,0.9475,0.8796,0.9642,0.2631,0.2716,1263
opp_double_chance_home,0.7189,0.5131,0.4835,0.4979,0.7855,0.2969,0.2882,1263
opp_double_chance_away,0.8551,0.5047,0.5838,0.5414,0.9066,0.1580,0.1465,1263
fav_win_by_2+_home,0.7854,0.4345,0.2500,0.3174,0.7547,0.1960,0.1995,1263
fav_win_by_2+_away,0.8899,0.3929,0.1732,0.2404,0.8845,0.0956,0.1006,1263
fav_win_to_nil_home,0.7918,0.3623,0.2222,0.2755,0.7273,0.1960,0.1781,1263
fav_win_to_nil_away,0.8947,0.4627,0.2422,0.3179,0.8753,0.0946,0.1013,1263
fav_failed_to_score_home,0.8876,0.3571,0.0362,0.0658,0.7196,0.1021,0.1093,1263
fav_failed_to_score_away,0.9398,0.2000,0.0625,0.0952,0.8521,0.0584,0.0507,1263
opp_failed_to_score_home,0.7435,0.3991,0.3190,0.3546,0.7380,0.2371,0.2209,1263
opp_failed_to_score_away,0.8606,0.4211,0.3038,0.3529,0.8911,0.1170,0.1251,1263
btts_yes_ft_home,0.6920,0.5820,0.6846,0.6292,0.7802,0.3670,0.3816,1263
btts_yes_ft_away,0.8377,0.5363,0.6858,0.6019,0.9112,0.1819,0.1789,1263
btts_yes_ht_home,0.8385,0.2121,0.0378,0.0642,0.7241,0.1390,0.1465,1263
btts_yes_ht_away,0.9272,0.3214,0.1098,0.1636,0.8811,0.0665,0.0649,1263
btts_yes_sh_home,0.8139,0.3462,0.1280,0.1869,0.7130,0.1778,0.1671,1263
btts_yes_sh_away,0.8852,0.2881,0.1417,0.1899,0.8727,0.0938,0.0950,1263
most_goals_1h_home,0.7680,0.3250,0.1554,0.2102,0.7090,0.1991,0.1987,1263
most_goals_1h_away,0.8797,0.3636,0.1791,0.2400,0.8861,0.0948,0.1061,1263
most_goals_2h_home,0.6904,0.4772,0.4176,0.4454,0.7519,0.2910,0.2977,1263
most_goals_2h_away,0.8250,0.3866,0.4237,0.4043,0.8825,0.1512,0.1401,1263
most_goals_equal_home,0.8092,0.3544,0.1284,0.1886,0.7304,0.1750,0.1726,1263
most_goals_equal_away,0.8884,0.1600,0.0748,0.1019,0.8509,0.0889,0.0847,1263
fav_scored_more_1h_home,0.7617,0.3359,0.1660,0.2222,0.7117,0.2031,0.2051,1263
fav_scored_more_1h_away,0.8844,0.4127,0.1926,0.2626,0.8887,0.0930,0.1069,1263
fav_scored_more_2h_home,0.6888,0.3704,0.2727,0.3141,0.7164,0.2520,0.2613,1263
fav_scored_more_2h_away,0.8361,0.2602,0.2162,0.2362,0.8589,0.1279,0.1172,1263
fav_scored_equal_home,0.7617,0.3140,0.1484,0.2016,0.7239,0.2100,0.2027,1263
fav_scored_equal_away,0.8519,0.2347,0.1704,0.1974,0.8680,0.1140,0.1069,1263
fav_comeback_draw_home,0.9683,1.0000,0.0476,0.0909,0.6100,0.0309,0.0333,1263
fav_comeback_draw_away,0.9921,0.0000,0.0000,0.0000,0.7791,0.0152,0.0079,1263
