Feature,Precision,Simulated_Bets,Avg_Odds_On_Win,Est_Profit,Est_ROI_%,Required_Odds_for_Profit
ht_ft_L/D_home,1.0,N/A (no odds mapping),N/A,N/A,N/A,1.00
fav_comeback_draw_home,1.0,N/A (no odds mapping),N/A,N/A,N/A,1.00
fav_double_chance_away,0.8207070707070707,309,1.13,-40.84,-13.22,1.22
fav_double_chance_home,0.8145859085290482,533,1.10,-108.99,-20.45,1.23
no_draw_home,0.7672955974842768,615,1.10,-140.33,-22.82,1.30
no_draw_away,0.7468030690537084,330,1.11,-71.61,-21.70,1.34
ht_opp_goals_0_away,0.6567164179104478,N/A (no odds mapping),N/A,N/A,N/A,1.52
ht_opp_goals_0_home,0.6160458452722063,N/A (no odds mapping),N/A,N/A,N/A,1.62
fav_win_home,0.612736660929432,563,1.57,-53.30,-9.47,1.63
sh_opp_goals_0_home,0.5944055944055944,N/A (no odds mapping),N/A,N/A,N/A,1.68
sh_opp_goals_0_away,0.5878136200716846,N/A (no odds mapping),N/A,N/A,N/A,1.70
fav_win_away,0.5851851851851851,270,1.71,-9.57,-3.54,1.71
btts_yes_ft_home,0.582010582010582,N/A (no odds mapping),N/A,N/A,N/A,1.72
btts_yes_ft_away,0.5363321799307958,N/A (no odds mapping),N/A,N/A,N/A,1.86
opp_double_chance_home,0.5131195335276968,342,1.48,-85.70,-25.06,1.95
opp_double_chance_away,0.5046728971962616,214,1.48,-56.83,-26.56,1.98
ht_fav_goals_3+_home,0.5,N/A (no odds mapping),N/A,N/A,N/A,2.00
ht_fav_goals_0_home,0.4866666666666667,N/A (no odds mapping),N/A,N/A,N/A,2.05
most_goals_2h_home,0.4772036474164133,N/A (no odds mapping),N/A,N/A,N/A,2.10
fav_win_to_nil_away,0.4626865671641791,N/A (no odds mapping),N/A,N/A,N/A,2.16
ht_ft_W/W_home,0.4486486486486487,N/A (no odds mapping),N/A,N/A,N/A,2.23
sh_fav_goals_0_home,0.4444444444444444,N/A (no odds mapping),N/A,N/A,N/A,2.25
ft_goal_diff_-1_home,0.4444444444444444,N/A (no odds mapping),N/A,N/A,N/A,2.25
ft_opp_goals_1_home,0.4407582938388625,N/A (no odds mapping),N/A,N/A,N/A,2.27
fav_win_by_2+_home,0.4344827586206896,N/A (no odds mapping),N/A,N/A,N/A,2.30
ht_fav_goals_0_away,0.4331550802139037,N/A (no odds mapping),N/A,N/A,N/A,2.31
ht_goal_diff_0_away,0.4276729559748428,N/A (no odds mapping),N/A,N/A,N/A,2.34
ft_opp_goals_0_away,0.4210526315789473,N/A (no odds mapping),N/A,N/A,N/A,2.38
opp_failed_to_score_away,0.4210526315789473,N/A (no odds mapping),N/A,N/A,N/A,2.38
fav_scored_more_1h_away,0.4126984126984127,N/A (no odds mapping),N/A,N/A,N/A,2.42
ht_total_goals_1_away,0.4117647058823529,N/A (no odds mapping),N/A,N/A,N/A,2.43
sh_fav_goals_0_away,0.4099378881987577,N/A (no odds mapping),N/A,N/A,N/A,2.44
sh_total_goals_1_home,0.4093567251461988,N/A (no odds mapping),N/A,N/A,N/A,2.44
ft_opp_goals_1_away,0.4032258064516129,N/A (no odds mapping),N/A,N/A,N/A,2.48
ft_total_goals_5_home,0.4,N/A (no odds mapping),N/A,N/A,N/A,2.50
ft_opp_goals_0_home,0.3991031390134529,N/A (no odds mapping),N/A,N/A,N/A,2.51
opp_failed_to_score_home,0.3991031390134529,N/A (no odds mapping),N/A,N/A,N/A,2.51
sh_total_goals_1_away,0.3970588235294117,N/A (no odds mapping),N/A,N/A,N/A,2.52
sh_fav_goals_1_home,0.3942307692307692,N/A (no odds mapping),N/A,N/A,N/A,2.54
sh_total_goals_0_home,0.3939393939393939,N/A (no odds mapping),N/A,N/A,N/A,2.54
